typing.Literal[<no_default>],timestamp,value_type,value,timestamp_new
2,2023-02-04T04:22:51.323125+00:00,P2,27,2023-02-04 04:22:51+00:00
6,2023-02-04T04:25:32.355326+00:00,P2,27,2023-02-04 04:25:32+00:00
8,2023-02-04T04:28:12.715838+00:00,P2,23,2023-02-04 04:28:13+00:00
14,2023-02-04T04:30:52.437520+00:00,P2,25,2023-02-04 04:30:52+00:00
18,2023-02-04T04:33:32.678818+00:00,P2,31,2023-02-04 04:33:33+00:00
20,2023-02-04T04:36:12.927357+00:00,P2,25,2023-02-04 04:36:13+00:00
26,2023-02-04T04:38:53.316332+00:00,P2,24,2023-02-04 04:38:53+00:00
30,2023-02-04T04:41:34.091589+00:00,P2,29,2023-02-04 04:41:34+00:00
32,2023-02-04T04:44:13.327431+00:00,P2,24,2023-02-04 04:44:13+00:00
36,2023-02-04T04:46:53.618956+00:00,P2,25,2023-02-04 04:46:54+00:00
42,2023-02-04T04:49:33.240110+00:00,P2,19,2023-02-04 04:49:33+00:00
46,2023-02-04T04:52:13.549063+00:00,P2,15,2023-02-04 04:52:14+00:00
48,2023-02-04T04:54:53.813248+00:00,P2,17,2023-02-04 04:54:54+00:00
54,2023-02-04T04:57:34.392875+00:00,P2,15,2023-02-04 04:57:34+00:00
58,2023-02-04T05:00:13.815369+00:00,P2,15,2023-02-04 05:00:14+00:00
60,2023-02-04T05:02:53.670508+00:00,P2,15,2023-02-04 05:02:54+00:00
64,2023-02-04T05:05:34.749576+00:00,P2,22,2023-02-04 05:05:35+00:00
68,2023-02-04T05:08:14.749544+00:00,P2,19,2023-02-04 05:08:15+00:00
72,2023-02-04T05:10:54.791203+00:00,P2,24,2023-02-04 05:10:55+00:00
76,2023-02-04T05:13:35.214403+00:00,P2,18,2023-02-04 05:13:35+00:00
80,2023-02-04T05:16:15.281997+00:00,P2,22,2023-02-04 05:16:15+00:00
86,2023-02-04T05:18:54.943865+00:00,P2,17,2023-02-04 05:18:55+00:00
90,2023-02-04T05:21:35.244369+00:00,P2,11,2023-02-04 05:21:35+00:00
92,2023-02-04T05:24:15.627939+00:00,P2,10,2023-02-04 05:24:16+00:00
96,2023-02-04T05:26:55.383476+00:00,P2,13,2023-02-04 05:26:55+00:00
102,2023-02-04T05:29:35.965241+00:00,P2,13,2023-02-04 05:29:36+00:00
106,2023-02-04T05:32:16.010067+00:00,P2,16,2023-02-04 05:32:16+00:00
110,2023-02-04T05:34:56.099389+00:00,P2,15,2023-02-04 05:34:56+00:00
114,2023-02-04T05:37:36.164372+00:00,P2,17,2023-02-04 05:37:36+00:00
118,2023-02-04T05:40:16.696439+00:00,P2,13,2023-02-04 05:40:17+00:00
122,2023-02-04T05:42:55.878611+00:00,P2,15,2023-02-04 05:42:56+00:00
124,2023-02-04T05:45:36.175555+00:00,P2,13,2023-02-04 05:45:36+00:00
128,2023-02-04T05:48:16.730855+00:00,P2,12,2023-02-04 05:48:17+00:00
134,2023-02-04T05:50:57.144978+00:00,P2,17,2023-02-04 05:50:57+00:00
138,2023-02-04T05:53:37.419565+00:00,P2,11,2023-02-04 05:53:37+00:00
142,2023-02-04T05:56:16.663046+00:00,P2,7,2023-02-04 05:56:17+00:00
146,2023-02-04T05:58:56.944311+00:00,P2,11,2023-02-04 05:58:57+00:00
150,2023-02-04T06:01:37.381743+00:00,P2,9,2023-02-04 06:01:37+00:00
154,2023-02-04T06:04:17.460168+00:00,P2,10,2023-02-04 06:04:17+00:00
158,2023-02-04T06:06:57.868334+00:00,P2,11,2023-02-04 06:06:58+00:00
160,2023-02-04T06:09:38.361867+00:00,P2,13,2023-02-04 06:09:38+00:00
166,2023-02-04T06:12:18.438049+00:00,P2,11,2023-02-04 06:12:18+00:00
170,2023-02-04T06:14:58.288202+00:00,P2,8,2023-02-04 06:14:58+00:00
174,2023-02-04T06:17:38.667884+00:00,P2,10,2023-02-04 06:17:39+00:00
178,2023-02-04T06:20:19.227524+00:00,P2,10,2023-02-04 06:20:19+00:00
182,2023-02-04T06:22:58.687056+00:00,P2,8,2023-02-04 06:22:59+00:00
184,2023-02-04T06:25:38.929822+00:00,P2,11,2023-02-04 06:25:39+00:00
190,2023-02-04T06:28:19.082418+00:00,P2,9,2023-02-04 06:28:19+00:00
194,2023-02-04T06:30:59.526649+00:00,P2,9,2023-02-04 06:31:00+00:00
196,2023-02-04T06:33:38.923483+00:00,P2,8,2023-02-04 06:33:39+00:00
200,2023-02-04T06:36:19.347586+00:00,P2,8,2023-02-04 06:36:19+00:00
204,2023-02-04T06:38:59.716146+00:00,P2,8,2023-02-04 06:39:00+00:00
208,2023-02-04T06:41:39.560030+00:00,P2,5,2023-02-04 06:41:40+00:00
212,2023-02-04T06:44:19.323360+00:00,P2,6,2023-02-04 06:44:19+00:00
218,2023-02-04T06:46:59.287009+00:00,P2,7,2023-02-04 06:46:59+00:00
220,2023-02-04T06:49:40.156928+00:00,P2,7,2023-02-04 06:49:40+00:00
224,2023-02-04T06:52:20.293391+00:00,P2,5,2023-02-04 06:52:20+00:00
230,2023-02-04T06:54:59.773991+00:00,P2,6,2023-02-04 06:55:00+00:00
234,2023-02-04T06:57:40.787573+00:00,P2,5,2023-02-04 06:57:41+00:00
236,2023-02-04T07:00:21.074904+00:00,P2,5,2023-02-04 07:00:21+00:00
240,2023-02-04T07:03:00.396456+00:00,P2,6,2023-02-04 07:03:00+00:00
246,2023-02-04T07:05:41.186861+00:00,P2,6,2023-02-04 07:05:41+00:00
250,2023-02-04T07:08:21.389829+00:00,P2,6,2023-02-04 07:08:21+00:00
252,2023-02-04T07:11:01.001683+00:00,P2,8,2023-02-04 07:11:01+00:00
258,2023-02-04T07:13:41.648291+00:00,P2,8,2023-02-04 07:13:42+00:00
262,2023-02-04T07:16:21.182172+00:00,P2,6,2023-02-04 07:16:21+00:00
264,2023-02-04T07:19:01.496544+00:00,P2,7,2023-02-04 07:19:01+00:00
270,2023-02-04T07:21:42.318071+00:00,P2,6,2023-02-04 07:21:42+00:00
272,2023-02-04T07:24:21.589190+00:00,P2,6,2023-02-04 07:24:22+00:00
278,2023-02-04T07:27:02.187054+00:00,P2,6,2023-02-04 07:27:02+00:00
282,2023-02-04T07:29:42.283704+00:00,P2,4,2023-02-04 07:29:42+00:00
284,2023-02-04T07:32:21.515457+00:00,P2,4,2023-02-04 07:32:22+00:00
290,2023-02-04T07:35:03.207646+00:00,P2,5,2023-02-04 07:35:03+00:00
294,2023-02-04T07:37:43.133045+00:00,P2,5,2023-02-04 07:37:43+00:00
296,2023-02-04T07:40:23.358551+00:00,P2,5,2023-02-04 07:40:23+00:00
302,2023-02-04T07:43:02.860697+00:00,P2,5,2023-02-04 07:43:03+00:00
306,2023-02-04T07:45:43.313589+00:00,P2,3,2023-02-04 07:45:43+00:00
310,2023-02-04T07:48:23.448556+00:00,P2,4,2023-02-04 07:48:23+00:00
312,2023-02-04T07:51:03.242386+00:00,P2,4,2023-02-04 07:51:03+00:00
316,2023-02-04T07:53:43.378306+00:00,P2,4,2023-02-04 07:53:43+00:00
320,2023-02-04T07:56:23.019347+00:00,P2,3,2023-02-04 07:56:23+00:00
326,2023-02-04T07:59:04.009369+00:00,P2,3,2023-02-04 07:59:04+00:00
328,2023-02-04T08:01:44.099714+00:00,P2,7,2023-02-04 08:01:44+00:00
332,2023-02-04T08:04:23.874685+00:00,P2,5,2023-02-04 08:04:24+00:00
336,2023-02-04T08:07:04.485572+00:00,P2,3,2023-02-04 08:07:04+00:00
342,2023-02-04T08:09:44.149123+00:00,P2,5,2023-02-04 08:09:44+00:00
346,2023-02-04T08:12:24.045251+00:00,P2,3,2023-02-04 08:12:24+00:00
348,2023-02-04T08:15:04.962402+00:00,P2,7,2023-02-04 08:15:05+00:00
354,2023-02-04T08:17:45.305216+00:00,P2,4,2023-02-04 08:17:45+00:00
358,2023-02-04T08:20:24.878815+00:00,P2,3,2023-02-04 08:20:25+00:00
360,2023-02-04T08:23:05.038414+00:00,P2,2,2023-02-04 08:23:05+00:00
366,2023-02-04T08:25:45.591423+00:00,P2,2,2023-02-04 08:25:46+00:00
368,2023-02-04T08:28:25.197562+00:00,P2,2,2023-02-04 08:28:25+00:00
372,2023-02-04T08:31:05.988396+00:00,P2,3,2023-02-04 08:31:06+00:00
378,2023-02-04T08:33:45.168896+00:00,P2,3,2023-02-04 08:33:45+00:00
382,2023-02-04T08:36:26.336665+00:00,P2,3,2023-02-04 08:36:26+00:00
386,2023-02-04T08:39:05.870779+00:00,P2,1,2023-02-04 08:39:06+00:00
390,2023-02-04T08:41:46.375063+00:00,P2,2,2023-02-04 08:41:46+00:00
394,2023-02-04T08:44:26.032270+00:00,P2,3,2023-02-04 08:44:26+00:00
398,2023-02-04T08:47:06.454366+00:00,P2,3,2023-02-04 08:47:06+00:00
400,2023-02-04T08:49:46.725593+00:00,P2,2,2023-02-04 08:49:47+00:00
406,2023-02-04T08:52:27.132044+00:00,P2,3,2023-02-04 08:52:27+00:00
410,2023-02-04T08:55:08.234504+00:00,P2,1,2023-02-04 08:55:08+00:00
414,2023-02-04T08:57:47.183474+00:00,P2,3,2023-02-04 08:57:47+00:00
416,2023-02-04T09:00:27.664807+00:00,P2,1,2023-02-04 09:00:28+00:00
422,2023-02-04T09:03:07.898159+00:00,P2,2,2023-02-04 09:03:08+00:00
424,2023-02-04T09:05:47.411742+00:00,P2,2,2023-02-04 09:05:47+00:00
428,2023-02-04T09:08:27.753857+00:00,P2,2,2023-02-04 09:08:28+00:00
434,2023-02-04T09:11:08.218109+00:00,P2,2,2023-02-04 09:11:08+00:00
438,2023-02-04T09:13:47.828012+00:00,P2,3,2023-02-04 09:13:48+00:00
440,2023-02-04T09:16:28.195074+00:00,P2,2,2023-02-04 09:16:28+00:00
444,2023-02-04T09:19:08.491210+00:00,P2,2,2023-02-04 09:19:08+00:00
448,2023-02-04T09:21:48.993263+00:00,P2,2,2023-02-04 09:21:49+00:00
452,2023-02-04T09:24:28.251712+00:00,P2,2,2023-02-04 09:24:28+00:00
456,2023-02-04T09:27:08.944680+00:00,P2,2,2023-02-04 09:27:09+00:00
462,2023-02-04T09:29:48.947593+00:00,P2,2,2023-02-04 09:29:49+00:00
464,2023-02-04T09:32:28.938560+00:00,P2,2,2023-02-04 09:32:29+00:00
470,2023-02-04T09:35:08.989111+00:00,P2,3,2023-02-04 09:35:09+00:00
472,2023-02-04T09:37:49.389588+00:00,P2,2,2023-02-04 09:37:49+00:00
476,2023-02-04T09:40:29.755169+00:00,P2,5,2023-02-04 09:40:30+00:00
482,2023-02-04T09:43:09.340234+00:00,P2,3,2023-02-04 09:43:09+00:00
484,2023-02-04T09:45:49.779859+00:00,P2,4,2023-02-04 09:45:50+00:00
488,2023-02-04T09:48:30.375096+00:00,P2,2,2023-02-04 09:48:30+00:00
492,2023-02-04T09:51:10.074424+00:00,P2,1,2023-02-04 09:51:10+00:00
498,2023-02-04T09:53:50.648943+00:00,P2,1,2023-02-04 09:53:51+00:00
502,2023-02-04T09:56:30.563792+00:00,P2,3,2023-02-04 09:56:31+00:00
504,2023-02-04T09:59:10.947332+00:00,P2,2,2023-02-04 09:59:11+00:00
510,2023-02-04T10:01:50.434893+00:00,P2,3,2023-02-04 10:01:50+00:00
514,2023-02-04T10:04:30.472104+00:00,P2,3,2023-02-04 10:04:30+00:00
518,2023-02-04T10:07:11.114010+00:00,P2,2,2023-02-04 10:07:11+00:00
522,2023-02-04T10:09:50.978175+00:00,P2,2,2023-02-04 10:09:51+00:00
524,2023-02-04T10:12:31.205690+00:00,P2,2,2023-02-04 10:12:31+00:00
530,2023-02-04T10:15:11.455325+00:00,P2,2,2023-02-04 10:15:11+00:00
532,2023-02-04T10:17:51.690442+00:00,P2,2,2023-02-04 10:17:52+00:00
538,2023-02-04T10:20:31.368050+00:00,P2,3,2023-02-04 10:20:31+00:00
542,2023-02-04T10:23:11.711212+00:00,P2,2,2023-02-04 10:23:12+00:00
546,2023-02-04T10:25:52.219976+00:00,P2,2,2023-02-04 10:25:52+00:00
548,2023-02-04T10:28:31.730683+00:00,P2,2,2023-02-04 10:28:32+00:00
554,2023-02-04T10:31:12.272671+00:00,P2,3,2023-02-04 10:31:12+00:00
556,2023-02-04T10:33:52.822856+00:00,P2,2,2023-02-04 10:33:53+00:00
562,2023-02-04T10:36:33.173750+00:00,P2,2,2023-02-04 10:36:33+00:00
566,2023-02-04T10:39:12.554368+00:00,P2,2,2023-02-04 10:39:13+00:00
568,2023-02-04T10:41:53.001575+00:00,P2,4,2023-02-04 10:41:53+00:00
574,2023-02-04T10:44:33.271397+00:00,P2,11,2023-02-04 10:44:33+00:00
578,2023-02-04T10:47:13.081250+00:00,P2,2,2023-02-04 10:47:13+00:00
582,2023-02-04T10:49:53.008482+00:00,P2,3,2023-02-04 10:49:53+00:00
586,2023-02-04T10:52:33.767588+00:00,P2,3,2023-02-04 10:52:34+00:00
590,2023-02-04T10:55:14.130961+00:00,P2,3,2023-02-04 10:55:14+00:00
592,2023-02-04T10:57:53.627690+00:00,P2,2,2023-02-04 10:57:54+00:00
596,2023-02-04T11:00:34.359597+00:00,P2,1,2023-02-04 11:00:34+00:00
602,2023-02-04T11:03:14.301619+00:00,P2,2,2023-02-04 11:03:14+00:00
606,2023-02-04T11:05:54.322369+00:00,P2,1,2023-02-04 11:05:54+00:00
610,2023-02-04T11:08:34.143203+00:00,P2,2,2023-02-04 11:08:34+00:00
614,2023-02-04T11:11:14.747152+00:00,P2,3,2023-02-04 11:11:15+00:00
