typing.Literal[<no_default>],timestamp,value_type,value,timestamp_new
0,2023-02-04T04:22:51.323124+00:00,humidity,100,2023-02-04 04:22:51+00:00
4,2023-02-04T04:25:32.354784+00:00,humidity,100,2023-02-04 04:25:32+00:00
10,2023-02-04T04:28:12.716734+00:00,humidity,100,2023-02-04 04:28:13+00:00
12,2023-02-04T04:30:52.437513+00:00,humidity,100,2023-02-04 04:30:52+00:00
16,2023-02-04T04:33:32.677578+00:00,humidity,100,2023-02-04 04:33:33+00:00
22,2023-02-04T04:36:12.927385+00:00,humidity,100,2023-02-04 04:36:13+00:00
24,2023-02-04T04:38:53.312812+00:00,humidity,100,2023-02-04 04:38:53+00:00
28,2023-02-04T04:41:32.982615+00:00,humidity,100,2023-02-04 04:41:33+00:00
34,2023-02-04T04:44:13.328866+00:00,humidity,100,2023-02-04 04:44:13+00:00
38,2023-02-04T04:46:53.618960+00:00,humidity,100,2023-02-04 04:46:54+00:00
40,2023-02-04T04:49:33.236407+00:00,humidity,100,2023-02-04 04:49:33+00:00
44,2023-02-04T04:52:13.549049+00:00,humidity,100,2023-02-04 04:52:14+00:00
50,2023-02-04T04:54:53.813273+00:00,humidity,100,2023-02-04 04:54:54+00:00
52,2023-02-04T04:57:34.390156+00:00,humidity,100,2023-02-04 04:57:34+00:00
56,2023-02-04T05:00:13.815257+00:00,humidity,100,2023-02-04 05:00:14+00:00
62,2023-02-04T05:02:53.672793+00:00,humidity,100,2023-02-04 05:02:54+00:00
66,2023-02-04T05:05:34.775584+00:00,humidity,100,2023-02-04 05:05:35+00:00
70,2023-02-04T05:08:14.753701+00:00,humidity,100,2023-02-04 05:08:15+00:00
74,2023-02-04T05:10:54.792254+00:00,humidity,99,2023-02-04 05:10:55+00:00
78,2023-02-04T05:13:35.298508+00:00,humidity,99,2023-02-04 05:13:35+00:00
82,2023-02-04T05:16:15.289025+00:00,humidity,99,2023-02-04 05:16:15+00:00
84,2023-02-04T05:18:54.941593+00:00,humidity,97,2023-02-04 05:18:55+00:00
88,2023-02-04T05:21:35.244342+00:00,humidity,97,2023-02-04 05:21:35+00:00
94,2023-02-04T05:24:15.680683+00:00,humidity,96,2023-02-04 05:24:16+00:00
98,2023-02-04T05:26:55.399735+00:00,humidity,96,2023-02-04 05:26:55+00:00
100,2023-02-04T05:29:35.695352+00:00,humidity,96,2023-02-04 05:29:36+00:00
104,2023-02-04T05:32:16.008494+00:00,humidity,95,2023-02-04 05:32:16+00:00
108,2023-02-04T05:34:56.099353+00:00,humidity,95,2023-02-04 05:34:56+00:00
112,2023-02-04T05:37:36.164356+00:00,humidity,95,2023-02-04 05:37:36+00:00
116,2023-02-04T05:40:16.695914+00:00,humidity,93,2023-02-04 05:40:17+00:00
120,2023-02-04T05:42:55.878309+00:00,humidity,92,2023-02-04 05:42:56+00:00
126,2023-02-04T05:45:36.175949+00:00,humidity,93,2023-02-04 05:45:36+00:00
130,2023-02-04T05:48:16.730858+00:00,humidity,92,2023-02-04 05:48:17+00:00
132,2023-02-04T05:50:57.144848+00:00,humidity,92,2023-02-04 05:50:57+00:00
136,2023-02-04T05:53:37.412568+00:00,humidity,91,2023-02-04 05:53:37+00:00
140,2023-02-04T05:56:16.663044+00:00,humidity,90,2023-02-04 05:56:17+00:00
144,2023-02-04T05:58:56.944309+00:00,humidity,91,2023-02-04 05:58:57+00:00
148,2023-02-04T06:01:37.381724+00:00,humidity,91,2023-02-04 06:01:37+00:00
152,2023-02-04T06:04:17.403222+00:00,humidity,90,2023-02-04 06:04:17+00:00
156,2023-02-04T06:06:57.868318+00:00,humidity,91,2023-02-04 06:06:58+00:00
162,2023-02-04T06:09:38.362683+00:00,humidity,90,2023-02-04 06:09:38+00:00
164,2023-02-04T06:12:18.436048+00:00,humidity,89,2023-02-04 06:12:18+00:00
168,2023-02-04T06:14:58.286043+00:00,humidity,87,2023-02-04 06:14:58+00:00
172,2023-02-04T06:17:38.667875+00:00,humidity,86,2023-02-04 06:17:39+00:00
176,2023-02-04T06:20:19.227450+00:00,humidity,86,2023-02-04 06:20:19+00:00
180,2023-02-04T06:22:58.685758+00:00,humidity,84,2023-02-04 06:22:59+00:00
186,2023-02-04T06:25:38.931872+00:00,humidity,83,2023-02-04 06:25:39+00:00
188,2023-02-04T06:28:18.937462+00:00,humidity,83,2023-02-04 06:28:19+00:00
192,2023-02-04T06:30:59.525798+00:00,humidity,81,2023-02-04 06:31:00+00:00
198,2023-02-04T06:33:39.149496+00:00,humidity,81,2023-02-04 06:33:39+00:00
202,2023-02-04T06:36:19.347603+00:00,humidity,76,2023-02-04 06:36:19+00:00
206,2023-02-04T06:38:59.716498+00:00,humidity,74,2023-02-04 06:39:00+00:00
210,2023-02-04T06:41:39.562097+00:00,humidity,71,2023-02-04 06:41:40+00:00
214,2023-02-04T06:44:19.326453+00:00,humidity,70,2023-02-04 06:44:19+00:00
216,2023-02-04T06:46:59.286986+00:00,humidity,70,2023-02-04 06:46:59+00:00
222,2023-02-04T06:49:40.156964+00:00,humidity,66,2023-02-04 06:49:40+00:00
226,2023-02-04T06:52:20.294493+00:00,humidity,65,2023-02-04 06:52:20+00:00
228,2023-02-04T06:54:59.773980+00:00,humidity,67,2023-02-04 06:55:00+00:00
232,2023-02-04T06:57:40.734204+00:00,humidity,65,2023-02-04 06:57:41+00:00
238,2023-02-04T07:00:21.082125+00:00,humidity,66,2023-02-04 07:00:21+00:00
242,2023-02-04T07:03:00.396508+00:00,humidity,64,2023-02-04 07:03:00+00:00
244,2023-02-04T07:05:41.186858+00:00,humidity,63,2023-02-04 07:05:41+00:00
248,2023-02-04T07:08:21.019636+00:00,humidity,64,2023-02-04 07:08:21+00:00
254,2023-02-04T07:11:01.006209+00:00,humidity,66,2023-02-04 07:11:01+00:00
256,2023-02-04T07:13:41.646775+00:00,humidity,66,2023-02-04 07:13:42+00:00
260,2023-02-04T07:16:21.182164+00:00,humidity,67,2023-02-04 07:16:21+00:00
266,2023-02-04T07:19:01.497637+00:00,humidity,65,2023-02-04 07:19:01+00:00
268,2023-02-04T07:21:42.318060+00:00,humidity,67,2023-02-04 07:21:42+00:00
274,2023-02-04T07:24:21.589719+00:00,humidity,61,2023-02-04 07:24:22+00:00
276,2023-02-04T07:27:02.184801+00:00,humidity,64,2023-02-04 07:27:02+00:00
280,2023-02-04T07:29:42.283684+00:00,humidity,61,2023-02-04 07:29:42+00:00
286,2023-02-04T07:32:21.515493+00:00,humidity,60,2023-02-04 07:32:22+00:00
288,2023-02-04T07:35:03.148889+00:00,humidity,58,2023-02-04 07:35:03+00:00
292,2023-02-04T07:37:43.079550+00:00,humidity,59,2023-02-04 07:37:43+00:00
298,2023-02-04T07:40:23.364289+00:00,humidity,57,2023-02-04 07:40:23+00:00
300,2023-02-04T07:43:02.859210+00:00,humidity,56,2023-02-04 07:43:03+00:00
304,2023-02-04T07:45:43.306056+00:00,humidity,57,2023-02-04 07:45:43+00:00
308,2023-02-04T07:48:23.445919+00:00,humidity,57,2023-02-04 07:48:23+00:00
314,2023-02-04T07:51:03.243819+00:00,humidity,56,2023-02-04 07:51:03+00:00
318,2023-02-04T07:53:43.378445+00:00,humidity,51,2023-02-04 07:53:43+00:00
322,2023-02-04T07:56:23.019477+00:00,humidity,50,2023-02-04 07:56:23+00:00
324,2023-02-04T07:59:04.009367+00:00,humidity,46,2023-02-04 07:59:04+00:00
330,2023-02-04T08:01:44.108394+00:00,humidity,47,2023-02-04 08:01:44+00:00
334,2023-02-04T08:04:23.877004+00:00,humidity,47,2023-02-04 08:04:24+00:00
338,2023-02-04T08:07:04.487570+00:00,humidity,49,2023-02-04 08:07:04+00:00
340,2023-02-04T08:09:43.954923+00:00,humidity,46,2023-02-04 08:09:44+00:00
344,2023-02-04T08:12:24.044061+00:00,humidity,48,2023-02-04 08:12:24+00:00
350,2023-02-04T08:15:04.963884+00:00,humidity,49,2023-02-04 08:15:05+00:00
352,2023-02-04T08:17:45.055346+00:00,humidity,52,2023-02-04 08:17:45+00:00
356,2023-02-04T08:20:24.878631+00:00,humidity,50,2023-02-04 08:20:25+00:00
362,2023-02-04T08:23:06.123012+00:00,humidity,43,2023-02-04 08:23:06+00:00
364,2023-02-04T08:25:45.588744+00:00,humidity,40,2023-02-04 08:25:46+00:00
370,2023-02-04T08:28:25.307282+00:00,humidity,41,2023-02-04 08:28:25+00:00
374,2023-02-04T08:31:05.989399+00:00,humidity,43,2023-02-04 08:31:06+00:00
376,2023-02-04T08:33:45.168893+00:00,humidity,41,2023-02-04 08:33:45+00:00
380,2023-02-04T08:36:26.336649+00:00,humidity,41,2023-02-04 08:36:26+00:00
384,2023-02-04T08:39:05.870740+00:00,humidity,41,2023-02-04 08:39:06+00:00
388,2023-02-04T08:41:46.375040+00:00,humidity,40,2023-02-04 08:41:46+00:00
392,2023-02-04T08:44:26.030085+00:00,humidity,41,2023-02-04 08:44:26+00:00
396,2023-02-04T08:47:06.444656+00:00,humidity,39,2023-02-04 08:47:06+00:00
402,2023-02-04T08:49:46.725969+00:00,humidity,37,2023-02-04 08:49:47+00:00
404,2023-02-04T08:52:27.131657+00:00,humidity,38,2023-02-04 08:52:27+00:00
408,2023-02-04T08:55:06.621757+00:00,humidity,37,2023-02-04 08:55:07+00:00
412,2023-02-04T08:57:47.061391+00:00,humidity,37,2023-02-04 08:57:47+00:00
418,2023-02-04T09:00:27.664811+00:00,humidity,37,2023-02-04 09:00:28+00:00
420,2023-02-04T09:03:07.897771+00:00,humidity,39,2023-02-04 09:03:08+00:00
426,2023-02-04T09:05:47.416154+00:00,humidity,38,2023-02-04 09:05:47+00:00
