,timestamp,value_type_temperature,value_temperature,timestamp_new,value_type_humidity,value_humidity,value_type_P1,value_P1,value_type_P2,value_P2
0,2023-02-04T04:22:51.323124+00:00,temperature,12.0,2023-02-04 04:22:51+00:00,humidity,100.0,,,,
1,2023-02-04T04:25:32.354784+00:00,temperature,11.0,2023-02-04 04:25:32+00:00,humidity,100.0,,,,
2,2023-02-04T04:28:12.716734+00:00,temperature,12.0,2023-02-04 04:28:13+00:00,humidity,100.0,,,,
3,2023-02-04T04:30:52.437513+00:00,temperature,12.0,2023-02-04 04:30:52+00:00,humidity,100.0,,,,
4,2023-02-04T04:33:32.677578+00:00,temperature,12.0,2023-02-04 04:33:33+00:00,humidity,100.0,,,,
5,2023-02-04T04:36:12.927385+00:00,temperature,12.0,2023-02-04 04:36:13+00:00,humidity,100.0,,,,
6,2023-02-04T04:38:53.312812+00:00,temperature,12.0,2023-02-04 04:38:53+00:00,humidity,100.0,,,,
7,2023-02-04T04:41:32.982615+00:00,temperature,13.0,2023-02-04 04:41:33+00:00,humidity,100.0,,,,
8,2023-02-04T04:44:13.328866+00:00,temperature,13.0,2023-02-04 04:44:13+00:00,humidity,100.0,,,,
9,2023-02-04T04:46:53.618960+00:00,temperature,13.0,2023-02-04 04:46:54+00:00,humidity,100.0,,,,
10,2023-02-04T04:49:33.236407+00:00,temperature,13.0,2023-02-04 04:49:33+00:00,humidity,100.0,,,,
11,2023-02-04T04:52:13.549049+00:00,temperature,13.0,2023-02-04 04:52:14+00:00,humidity,100.0,,,,
12,2023-02-04T04:54:53.813273+00:00,temperature,14.0,2023-02-04 04:54:54+00:00,humidity,100.0,,,,
13,2023-02-04T04:57:34.390156+00:00,temperature,14.0,2023-02-04 04:57:34+00:00,humidity,100.0,,,,
14,2023-02-04T05:00:13.815257+00:00,temperature,14.0,2023-02-04 05:00:14+00:00,humidity,100.0,,,,
15,2023-02-04T05:02:53.672793+00:00,temperature,14.0,2023-02-04 05:02:54+00:00,humidity,100.0,,,,
16,2023-02-04T05:05:34.775584+00:00,temperature,15.0,2023-02-04 05:05:35+00:00,humidity,100.0,,,,
17,2023-02-04T05:08:14.753701+00:00,temperature,15.0,2023-02-04 05:08:15+00:00,humidity,100.0,,,,
18,2023-02-04T05:10:54.792254+00:00,temperature,15.0,2023-02-04 05:10:55+00:00,humidity,99.0,,,,
19,2023-02-04T05:13:35.298508+00:00,temperature,15.0,2023-02-04 05:13:35+00:00,humidity,99.0,,,,
20,2023-02-04T05:16:15.289025+00:00,temperature,16.0,2023-02-04 05:16:15+00:00,humidity,99.0,,,,
