,timestamp,value_type_temperature,value_temperature,timestamp_new,value_type_humidity,value_humidity,value_type_P1,value_P1,value_type_P2,value_P2
0,2021-11-08T04:40:03.067163+00:00,temperature,14.0,2021-11-08 04:40:03+00:00,humidity,91.0,,,,
1,2021-11-08T04:42:41.210350+00:00,temperature,14.0,2021-11-08 04:42:41+00:00,humidity,92.0,,,,
2,2021-11-08T04:45:21.600080+00:00,temperature,15.0,2021-11-08 04:45:22+00:00,humidity,92.0,,,,
3,2021-11-08T04:48:01.572131+00:00,temperature,15.0,2021-11-08 04:48:02+00:00,humidity,92.0,,,,
4,2021-11-08T04:50:41.589311+00:00,temperature,15.0,2021-11-08 04:50:42+00:00,humidity,91.0,,,,
5,2021-11-08T04:53:21.951179+00:00,temperature,15.0,2021-11-08 04:53:22+00:00,humidity,91.0,,,,
6,2021-11-08T04:56:01.889288+00:00,temperature,16.0,2021-11-08 04:56:02+00:00,humidity,90.0,,,,
7,2021-11-08T04:58:42.335677+00:00,temperature,16.0,2021-11-08 04:58:42+00:00,humidity,90.0,,,,
8,2021-11-08T05:01:22.459897+00:00,temperature,16.0,2021-11-08 05:01:22+00:00,humidity,89.0,,,,
9,2021-11-08T05:04:02.776129+00:00,temperature,16.0,2021-11-08 05:04:03+00:00,humidity,86.0,,,,
10,2021-11-08T05:05:38.281673+00:00,temperature,16.0,2021-11-08 05:05:38+00:00,humidity,85.0,,,,
11,2021-11-08T05:08:18.339211+00:00,temperature,16.0,2021-11-08 05:08:18+00:00,humidity,86.0,,,,
12,2021-11-08T05:10:58.585073+00:00,temperature,17.0,2021-11-08 05:10:59+00:00,humidity,87.0,,,,
13,2021-11-08T05:13:38.537453+00:00,temperature,17.0,2021-11-08 05:13:39+00:00,humidity,86.0,,,,
14,2021-11-08T05:16:18.541044+00:00,temperature,17.0,2021-11-08 05:16:19+00:00,humidity,84.0,,,,
15,2021-11-08T05:18:58.884813+00:00,temperature,17.0,2021-11-08 05:18:59+00:00,humidity,85.0,,,,
16,2021-11-08T05:21:38.875368+00:00,temperature,17.0,2021-11-08 05:21:39+00:00,humidity,83.0,,,,
17,2021-11-08T05:24:19.301574+00:00,temperature,17.0,2021-11-08 05:24:19+00:00,humidity,81.0,,,,
18,2021-11-08T05:26:59.388024+00:00,temperature,17.0,2021-11-08 05:26:59+00:00,humidity,81.0,,,,
19,2021-11-08T05:29:39.592318+00:00,temperature,18.0,2021-11-08 05:29:40+00:00,humidity,79.0,,,,
20,2021-11-08T05:32:19.365454+00:00,temperature,18.0,2021-11-08 05:32:19+00:00,humidity,78.0,,,,
21,2021-11-08T05:34:59.547668+00:00,temperature,18.0,2021-11-08 05:35:00+00:00,humidity,81.0,,,,
22,2021-11-08T05:37:39.957223+00:00,temperature,18.0,2021-11-08 05:37:40+00:00,humidity,81.0,,,,
23,2021-11-08T05:40:19.947363+00:00,temperature,18.0,2021-11-08 05:40:20+00:00,humidity,79.0,,,,
24,2021-11-08T05:43:00.312833+00:00,temperature,18.0,2021-11-08 05:43:00+00:00,humidity,80.0,,,,
25,2021-11-08T05:45:40.278169+00:00,temperature,18.0,2021-11-08 05:45:40+00:00,humidity,77.0,,,,
26,2021-11-08T05:48:20.271680+00:00,temperature,19.0,2021-11-08 05:48:20+00:00,humidity,75.0,,,,
27,2021-11-08T05:51:00.212688+00:00,temperature,19.0,2021-11-08 05:51:00+00:00,humidity,76.0,,,,
28,2021-11-08T05:53:40.544998+00:00,temperature,19.0,2021-11-08 05:53:41+00:00,humidity,77.0,,,,
29,2021-11-08T05:56:20.628587+00:00,temperature,19.0,2021-11-08 05:56:21+00:00,humidity,76.0,,,,
30,2021-11-08T05:59:00.813719+00:00,temperature,19.0,2021-11-08 05:59:01+00:00,humidity,75.0,,,,
31,2021-11-08T06:01:40.889267+00:00,temperature,19.0,2021-11-08 06:01:41+00:00,humidity,73.0,P1,20.0,P2,14.0
32,2021-11-08T06:04:21.264944+00:00,temperature,19.0,2021-11-08 06:04:21+00:00,humidity,74.0,,,,
33,2021-11-08T06:07:01.311453+00:00,temperature,19.0,2021-11-08 06:07:01+00:00,humidity,75.0,,,,
34,2021-11-08T06:09:41.232057+00:00,temperature,20.0,2021-11-08 06:09:41+00:00,humidity,72.0,,,,
35,2021-11-08T06:12:21.614376+00:00,temperature,20.0,2021-11-08 06:12:22+00:00,humidity,70.0,,,,
36,2021-11-08T06:15:01.609884+00:00,temperature,20.0,2021-11-08 06:15:02+00:00,humidity,69.0,,,,
37,2021-11-08T06:17:42.089670+00:00,temperature,20.0,2021-11-08 06:17:42+00:00,humidity,68.0,,,,
38,2021-11-08T06:20:21.984380+00:00,temperature,20.0,2021-11-08 06:20:22+00:00,humidity,69.0,,,,
39,2021-11-08T06:23:02.344358+00:00,temperature,20.0,2021-11-08 06:23:02+00:00,humidity,69.0,,,,
40,2021-11-08T06:25:42.309635+00:00,temperature,21.0,2021-11-08 06:25:42+00:00,humidity,68.0,,,,
41,2021-11-08T06:28:22.251425+00:00,temperature,21.0,2021-11-08 06:28:22+00:00,humidity,66.0,,,,
42,2021-11-08T06:31:02.659451+00:00,temperature,21.0,2021-11-08 06:31:03+00:00,humidity,65.0,,,,
